id,activity,title,creator,assignee,status,type,message_count
33716,2018-06-21.11:30:39,test_concurrent_futures.test_crash() failed on x86 Windows7 3.7,2377,None,1,None,6.0
1617161,2018-06-21.11:30:33,Instance methods compare equal when their self's are equal,2954,None,1,5,17.0
33930,2018-06-21.11:27:57,Segfault with deep recursion into object().__dir__,28784,None,1,1,1.0
33921,2018-06-21.11:15:46,Explain that '' can be used to bind to all interfaces for the AF_INET address family in the docs,22286,12260,1,6,3.0
32942,2018-06-21.11:14:40,test_script_helper fails on Windows when run from the source code directory,28008,None,1,None,3.0
33928,2018-06-21.11:10:16,_Py_DecodeUTF8Ex() creates surrogate pairs on Windows,2377,None,1,None,4.0
33735,2018-06-21.11:08:28,"test_multiprocessing_spawn leaked [1, 2, 1] memory blocks on AMD64 Windows8.1 Refleaks 3.7",2377,None,1,3,5.0
33914,2018-06-21.11:06:51,test_gdb fails for Python 2.7.15,28778,None,1,2,3.0
33929,2018-06-21.11:05:06,test_multiprocessing_spawn: WithProcessesTestProcess.test_many_processes() leaks 5 handles on Windows,2377,None,1,None,1.0
32710,2018-06-21.11:00:03,"test_asyncio leaked [4, 4, 3] memory blocks, sum=11 on AMD64 Windows8.1 Refleaks 3.x",2377,None,1,None,5.0
33927,2018-06-21.10:48:29,Allow json.tool to have identical infile and outfile,28783,None,1,5,2.0
33926,2018-06-21.10:37:31,test_gdb is skipped in builds since gdb is not installed as part of build script,28746,None,1,None,2.0
23224,2018-06-21.09:41:25,LZMADecompressor object is only initialized in __init__,14751,None,1,1,6.0
33916,2018-06-21.09:36:40,test_lzma: test_refleaks_in_decompressor___init__() leaks 100 handles on Windows,2377,None,1,3,6.0
33894,2018-06-21.08:05:10,tempfile.tempdir cannot be unset,28757,12260,1,5,6.0
29612,2018-06-21.07:47:27,TarFile.extract() suffers from hard links inside tarball,25625,None,1,5,7.0
31938,2018-06-21.06:45:26,Convert selectmodule.c to Argument Clinic,2557,None,1,6,3.0
32568,2018-06-21.06:45:25,Fix handling of sizehint=-1 in select.epoll(),2557,None,1,5,3.0
33911,2018-06-21.05:55:23,[EASY] test_docxmlrpc fails when run with -Werror,2377,None,1,None,2.0
33912,2018-06-21.03:26:44,[EASY] test_warnings: test_exec_filename() fails when run with -Werror,2377,None,1,None,3.0
33909,2018-06-21.02:33:23,PyObject_CallFinalizerFromDealloc is not referenced in any documentation,17737,12260,1,None,2.0
33923,2018-06-20.23:54:32,py.ini cannot set 32/64bits for specific version,26063,None,1,None,1.0
15533,2018-06-20.22:54:25,subprocess.Popen(cwd) documentation: Posix vs Windows,12075,252,1,5,41.0
33920,2018-06-20.21:47:58,test_asyncio: test_run_coroutine_threadsafe_with_timeout() failed on AMD64 FreeBSD 10.x Shared 3.7,2377,None,1,None,1.0
33873,2018-06-20.21:35:03,False positives when running leak tests with -R 1:1,26865,None,1,5,9.0
33918,2018-06-20.21:25:50,Hooking into pause/resume of iterators/coroutines,26305,None,1,5,5.0
33613,2018-06-20.21:00:30,test_multiprocessing_fork: test_semaphore_tracker_sigint() fails with -W error,2377,26865,1,None,7.0
33919,2018-06-20.20:53:35,Expose _PyCoreConfig structure to Python,19,19,1,6,4.0
33875,2018-06-20.20:18:54,Allow dynamic password evaluation in pypirc configuration file.,28759,None,1,6,1.0
33855,2018-06-20.18:41:47,IDLE: Minimally test every non-startup module.,155,155,1,5,16.0
6331,2018-06-20.16:20:05,Add unicode script info to the unicode database,22,None,1,6,17.0
16684,2018-06-20.16:11:43,Unicode property value abbreviated names and long names,17000,None,1,6,9.0
33782,2018-06-20.15:37:34,VSTS Windows-PR: internal error,2377,16632,1,None,7.0
18174,2018-06-20.14:55:39,Make regrtest with --huntrleaks check for fd leaks,13976,None,1,6,24.0
33507,2018-06-20.14:31:32,Improving the html rendered by cgitb.html,27503,None,1,6,5.0
31731,2018-06-20.14:05:03,[2.7] test_io: race condition in test_interrupted_write_text() (test_io hangs on x86 Gentoo Refleaks 2.7),2377,None,1,None,12.0
30345,2018-06-20.13:51:12,test_gdb fails on Python 3.6 when built with LTO+PGO,2377,None,1,None,21.0
31774,2018-06-20.13:04:55,"[RFE] tarfile: add an option to change the ""blocking factor""",23615,None,1,6,4.0
33468,2018-06-20.11:23:01,Add try-finally contextlib.contextmanager example,1309,1309,1,6,3.0
31463,2018-06-20.10:54:39,test_multiprocessing_fork hangs test_subprocess,4455,26865,1,None,14.0
33913,2018-06-20.10:32:47,test_multiprocessing_spawn random failures on x86 Windows7 3.6,2377,None,1,None,1.0
30317,2018-06-20.10:30:58,test_timeout() of test_multiprocessing_spawn.WithManagerTestBarrier fails randomly on x86 Windows7 3.x buildbot,2377,None,1,None,9.0
25094,2018-06-20.10:22:10,[EASY][Windows] test_tools fails on Windows when passing,155,None,1,5,3.0
33719,2018-06-20.10:19:53,Test failures on Python 3.7 beta 5 and Windows 10,2377,None,1,None,4.0
33720,2018-06-20.10:18:25,test_marshal: crash in Python 3.7b5 on Windows 10,2377,16632,1,1,19.0
33783,2018-06-20.08:31:04,Use proper class markup for random.Random docs,1309,114,1,6,2.0
30411,2018-06-20.07:40:03,"git doesn't support ""-C"" args under 1.8.5 occurs in configure.ac",26120,None,1,None,2.0
33839,2018-06-20.07:36:45,IDLE tooltips.py: refactor and add docstrings and tests,155,155,1,5,14.0
33905,2018-06-20.06:47:00,IDLE: stackbrowser.Stackbrowser should accept exception.,155,155,1,5,2.0
30462,2018-06-20.05:35:20,urllib does not support NO_PROXY environment variable containing domain with asterisk,26198,None,1,6,6.0
33301,2018-06-20.03:57:27,Add __contains__ to pathlib,28322,None,1,6,5.0
31680,2018-06-19.19:18:47,Expose curses library name and version on Python level,15623,15623,1,6,9.0
27777,2018-06-19.19:07:24,cgi.FieldStorage can't parse simple body with Content-Length and no Content-Disposition,24425,None,1,5,16.0
33717,2018-06-19.18:02:45,Enhance test.pythoninfo: meta-ticket for multiple changes,2377,None,1,6,7.0
33895,2018-06-19.16:34:46,LoadLibraryExW called with GIL held can cause deadlock,28767,None,1,5,8.0
33865,2018-06-19.15:17:06,"[EASY] Missing code page aliases: ""unknown encoding: 874""",28745,None,1,1,22.0
33896,2018-06-19.13:54:18,Document what components make up the filecmp.cmp os.stat signature.,28758,None,1,5,5.0
6280,2018-06-19.13:50:33,"calendar.timegm() belongs in time module, next to time.gmtime()",440,1427,1,6,22.0
32388,2018-06-19.09:11:17,Remove cross-version binary compatibility,2040,None,1,5,8.0
33898,2018-06-19.08:40:22,pathlib issues with Windows device paths,16413,None,1,5,1.0
33899,2018-06-19.07:41:52,"Tokenize module does not mirror ""end-of-input"" is newline behavior",24221,24221,1,5,1.0
20180,2018-06-19.07:37:34,Derby #11: Convert 50 sites to Argument Clinic across 9 files,2731,None,1,6,54.0
32962,2018-06-19.07:03:32,test_gdb fails in debug build with `-mcet -fcf-protection -O0`,25544,None,1,None,22.0
33897,2018-06-18.20:39:17,Add a restart option to logging.basicConfig(),114,328,1,6,1.0
23660,2018-06-18.16:02:56,Turtle left/right inverted when using different coordinates orientation,4475,None,1,5,4.0
33830,2018-06-18.15:37:01,Error in the output of one example in the httplib docs,28560,12260,1,None,3.0
29750,2018-06-18.15:35:03,smtplib doesn't handle unicode passwords,25741,None,1,6,18.0
23395,2018-06-18.15:21:02,"_thread.interrupt_main() errors if SIGINT handler in SIG_DFL, SIG_IGN",14007,None,1,5,14.0
15474,2018-06-18.14:16:06,Differentiate decorator and decorator factory in docs,7641,12260,1,6,6.0
33661,2018-06-18.13:04:05,urllib may leak sensitive HTTP headers to a third-party web site,24459,None,1,4,5.0
33871,2018-06-18.12:56:32,Possible integer overflow in iov_setup(),15623,None,1,1,5.0
33832,2018-06-18.11:34:12,"doc Add ""magic method"" entry to Glossary",27773,12260,1,6,11.0
33876,2018-06-18.11:32:53,doc Mention relevant pythonesque implementations,27773,12260,1,6,10.0
6143,2018-06-18.08:03:25,IDLE - an extension to clear the shell window,7276,155,1,5,25.0
31817,2018-06-18.05:13:46,Compilation Error with Python 3.6.1/3.6.3 with Tkinter,27210,None,1,2,11.0
33887,2018-06-18.02:37:15,doc Add TOC in Design and History FAQ,27773,12260,1,6,3.0
33869,2018-06-18.02:36:54,"doc Add set, frozen set, and tuple entries to Glossary",27773,12260,1,6,5.0
33880,2018-06-18.02:25:28,namedtuple should use NFKD to find duplicate members,28763,None,1,5,5.0
32498,2018-06-17.19:16:00,urllib.parse.unquote raises incorrect errormessage when string parameter is bytes,27647,None,1,5,10.0
33884,2018-06-17.18:51:59,"[multiprocessing] Multiprocessing in spawn mode doesn't work when the target is a method in a unittest.TestCase subclass, when run either with unittest or with pytest",28699,None,3,5,2.0
33888,2018-06-17.18:15:21,Use CPython instead of Python when talking about implementation details,27773,12260,1,None,1.0
33886,2018-06-17.17:41:30,SSL on aiomysql hangs on reconnection,27369,None,1,5,1.0
